Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	hm2	GRMZM2G086773	0.723	Double mutant.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.025	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, contains only traces of flavonols.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.024	Anthocyanins absent in leaves, stems and all tissues, this is conspicuous in older plants when chlorophyll starts breaking down, and stems are brighter green.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seed coat.	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seed coat.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seed coat.	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seed coat.	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seed coat.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, contains only traces of flavonols.	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, contains only traces of flavonols.	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, contains only traces of flavonols.	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, contains only traces of flavonols.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Double mutant.	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Double mutant.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Double mutant.	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Double mutant.	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Disruption of the synthesis of brown pigment in seed coat (testa).	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Disruption of the synthesis of brown pigment in seed coat (testa).	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Disruption of the synthesis of brown pigment in seed coat (testa).	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Disruption of the synthesis of brown pigment in seed coat (testa).	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Disruption of the synthesis of brown pigment in seed coat (testa).	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds.	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds.	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds.	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Anthocyanins absent in leaves, stems and all tissues, this is conspicuous in older plants when chlorophyll starts breaking down, and stems are brighter green.	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Anthocyanins absent in leaves, stems and all tissues, this is conspicuous in older plants when chlorophyll starts breaking down, and stems are brighter green.	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Anthocyanins absent in leaves, stems and all tissues, this is conspicuous in older plants when chlorophyll starts breaking down, and stems are brighter green.	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Anthocyanins absent in leaves, stems and all tissues, this is conspicuous in older plants when chlorophyll starts breaking down, and stems are brighter green.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Deficient in chalcone isomerase activity and has reduced flavonoid content.	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Deficient in chalcone isomerase activity and has reduced flavonoid content.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Deficient in chalcone isomerase activity and has reduced flavonoid content.	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Deficient in chalcone isomerase activity and has reduced flavonoid content.	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Deficient in chalcone isomerase activity and has reduced flavonoid content.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Altered phenylpropanoid metabolism.	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Altered phenylpropanoid metabolism.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Altered phenylpropanoid metabolism.	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Altered phenylpropanoid metabolism.	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Altered phenylpropanoid metabolism.	Hm1 hm2 double mutant is susceptable.	1788
