Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	phyB2	GRMZM2G092174	0.686	Early flowering compared to wild type.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Yellow seed coat.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Yellow seed coat.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Approximately wild-type anthocyanin levels observed in leaves, stems and other tissues.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Approximately wild-type anthocyanin levels observed in leaves, stems and other tissues.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	GA responsive dwarf, transparent testa, yellow seeds.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	GA responsive dwarf, transparent testa, yellow seeds.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Segregating (40%) for small, dark-green rosettes with asymmetric leaves.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Segregating (40%) for small, dark-green rosettes with asymmetric leaves.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Very slow growth, dwarf and sterile plants.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Very slow growth, dwarf and sterile plants.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Early flowering compared to wild type.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	No visible phenotype.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	No visible phenotype.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	The initiation of abaxial trichomes occurs marginally earlier than those of wild type Ler.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	The initiation of abaxial trichomes occurs marginally earlier than those of wild type Ler.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Much reduced fertility compared to wild type Ler.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Much reduced fertility compared to wild type Ler.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Reduced pollen levels than wild type Ler and filaments shorter than carpels.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Reduced pollen levels than wild type Ler and filaments shorter than carpels.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Stems are 35% taller than that of wild type Ler.	Early flowering.	3200
1	Maize	phyB2	GRMZM2G092174	0.000	Stems are 35% taller than that of wild type Ler.	Seen as tassel emergence and first shedding a number of days before non-mutant sibs.	3200
