Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	hm2	GRMZM2G086773	0.723	Double mutant.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.126	Anthocyanins absent in leaves, stems and all tissues, this is conspicuous in older plants when chlorophyll starts breaking down, and mutant plants are yellowish.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.052	Anthocyanins absent in leaves, stems and all tissues, this is conspicuous in older plants when chlorophyll starts breaking down, and mutant plants are yellowish.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.031	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.025	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, lacks flavonols.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seed coat.	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seed coat.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seed coat.	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seed coat.	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seed coat.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, lacks flavonols.	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, lacks flavonols.	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, lacks flavonols.	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, lacks flavonols.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Colorless seed coat.	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Colorless seed coat.	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Colorless seed coat.	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Colorless seed coat.	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Colorless seed coat.	Hm1 hm2 double mutant is susceptable.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Resistant to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Yellowish flecks (resistant) on leaves vs disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Susceptible to Cochliobolus carbonum.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Disease lesions (susceptible) with race 1.	1788
1	Maize	hm2	GRMZM2G086773	0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Hm1 hm2 double mutant is susceptable.	1788
