id,Rank,Gene
2377,1,ATG10
462,2,APG5
23,3,AVP1
456,4,SMT2
442,5,BRI1
1240,6,ARF2
451,7,DET2
1635,8,RSR4
2236,9,HYL1
2433,10,MIA
2593,11,RPN10
1455,12,TIP1
2129,13,VTI1b
330,14,CRM2
1162,15,SKB1
1314,16,EIN2
2260,17,HXK1
427,18,TFL2
1270,19,HDA6
1257,20,FCA
1164,21,SLY1
1165,22,RDM4
2016,23,GA4
5235,24,FWA
2566,25,MAC5A
1249,26,GI
1320,27,SPY
1094,28,AtBAG6
1095,29,AtBAG4
1260,30,CO
548,31,FLC
2270,32,HAC1
1255,33,FPA
203,34,FRI
448,35,UBP15
511,36,FTA
2254,37,NUA
513,38,PFD3
1272,39,PLDALPHA3
2288,40,DDL
1134,41,SSRP1
1993,42,STIP
2217,43,HST
5216,44,ALL1
2261,45,REF6
2219,46,CTR1
1566,47,SGR3
450,48,AXR1
2006,49,HOT5
2352,50,AtARP6
