id,Rank,Gene
1788,1,hm2
1789,2,hm1
2727,3,lw2
2746,4,vp9
2760,5,w3
2787,6,y9
2726,7,lw1
2719,8,cl1
2728,9,lw3
2729,10,lw4
2730,11,lw5
2731,12,lw6
2715,13,al1
2717,14,ws3
2759,15,w2
2720,16,cp2
2975,17,pg15
2841,18,y1
3097,19,dek5
2857,20,cp*-N1313
1218,21,su1
3414,22,ys1
1281,23,rld1
3331,24,v*-N779A
3697,25,v24
3698,26,v*-N114A
3699,27,v*-N245
3703,28,wlv1
3707,29,yg2
3704,30,ws4
224,31,g2
1517,32,oy1
2950,33,pro1
3341,34,pg*-N484A
3705,35,wst*-N413A
3706,36,wst*-N548
3688,37,pg*-N484B
3685,38,pg*-N1885
3696,39,spt*-N1620B
2852,40,d*-N1352B
3620,41,sr3
3418,42,sh6
2837,43,blh*-N487C
2838,44,l*-N113
3408,45,orp1
3409,46,orp2
3194,47,smp*-N586B
3226,48,et*-N1001A
3264,49,fl*-N1333B
3683,50,pg*-N1822A
