id,Rank,Gene
1228,1,ps1
2733,2,o5
2787,3,y9
6,4,d8
2967,5,brd1
531,6,an1
2746,7,vp9
2720,8,cp2
2726,9,lw1
1881,10,why1
2760,11,w3
2759,12,w2
2727,13,lw2
1227,14,vp5
2744,15,vp2
2695,16,asc1
2745,17,vp*-5111
2722,18,emb14
2723,19,emb17
2724,20,emb2
2747,21,vp*-N1136B
167,22,vp10
225,23,bsd2
3298,24,gl11
2891,25,sut1
1277,26,ij1
2950,27,pro1
967,28,dek1
2771,29,wlu7
2782,30,w*-N278A
2769,31,wlu1
2694,32,abs1
3017,33,dcl101
1871,34,crp1
3192,35,et*-N617
2741,36,v35
2779,37,w*-N1893
2743,38,v*-N29
2754,39,w14
3079,40,shai1
2719,41,cl1
2725,42,l*-N612B
3026,43,dcl4
2768,44,wgs1
2775,45,w*-N1834
2776,46,w*-N1854
2778,47,w*-N1890
3626,48,nec4
2773,49,w*-N1126B
1880,50,crs2
