id,Rank,Gene
2867,1,brn1
166,2,a1
169,3,a2
2876,4,brt1
2866,5,bn1
2868,6,bnk*-N1519C
2869,7,brn2
2727,8,lw2
2746,9,vp9
2760,10,w3
2787,11,y9
1227,12,vp5
2744,13,vp2
2745,14,vp*-5111
1228,15,ps1
2733,16,o5
2747,17,vp*-N1136B
2720,18,cp2
2726,19,lw1
2759,20,w2
2719,21,cl1
2728,22,lw3
2729,23,lw4
2730,24,lw5
2731,25,lw6
2780,26,w*-N21A
1277,27,ij1
1877,28,caf2
1878,29,ppr5
1879,30,rnc1
1880,31,crs2
1881,32,why1
1882,33,wtf1
2718,34,caf1
2721,35,cptk1
2722,36,emb14
2723,37,emb17
2724,38,emb2
2725,39,l*-N612B
2732,40,mterf4
2734,41,ppr103
2735,42,ppr2
2736,43,ppr4
2737,44,ppr405
2738,45,prda1
2739,46,ptac14
2740,47,v18
2741,48,v35
2742,49,v8
2743,50,v*-N29
