id,Rank,Gene
2719,1,cl1
2741,2,v35
2743,3,v*-N29
2752,4,w1
2758,5,w18
2760,6,w3
2769,7,wlu1
2770,8,wlu2
2771,9,wlu7
2772,10,wlu9
2773,11,w*-N1126B
2969,12,cb2
1218,13,su1
3331,14,v*-N779A
3697,15,v24
3698,16,v*-N114A
3699,17,v*-N245
3703,18,wlv1
3707,19,yg2
2717,20,ws3
3277,21,rgh*-N1105A
3342,22,grt1
3369,23,hcf26
3511,24,wlu3
3512,25,wlu4
3513,26,wlu5
3872,27,v27
3909,28,v25
3914,29,v36
3924,30,v*-N1871
3925,31,v*-N26
3927,32,v*-N473B
3928,33,v*-N53A
3929,34,v*-N69A
3930,35,v*-N806C
3931,36,v*-N826
3933,37,wl*-N1831
3934,38,wl*-N1857
3938,39,murE1
3939,40,ptac10
3940,41,v*-N308
3941,42,w20
3942,43,w24
3943,44,wl*-N1803
3944,45,wl*-N1982
3945,46,wl*-N311B
3946,47,wl*-N362B
3947,48,wl*-N4
3948,49,wl*-N44
3949,50,wl*-N47
