id,Rank,Gene
2726,1,lw1
2727,2,lw2
2746,3,vp9
2760,4,w3
2787,5,y9
2719,6,cl1
2728,7,lw3
2729,8,lw4
2730,9,lw5
2731,10,lw6
2715,11,al1
2717,12,ws3
2759,13,w2
3408,14,orp1
3409,15,orp2
3683,16,pg*-N1822A
3694,17,spt1
3695,18,spt2
3696,19,spt*-N1620B
2950,20,pro1
3688,21,pg*-N484B
2720,22,cp2
1281,23,rld1
2841,24,y1
3704,25,ws4
2975,26,pg15
2857,27,cp*-N1313
3097,28,dek5
2909,29,cp*-N1294
224,30,g2
1517,31,oy1
3341,32,pg*-N484A
3414,33,ys1
3705,34,wst*-N413A
3706,35,wst*-N548
1218,36,su1
3620,37,sr3
3418,38,sh6
2837,39,blh*-N487C
2838,40,l*-N113
2852,41,d*-N1352B
3194,42,smp*-N586B
3685,43,pg*-N1885
3331,44,v*-N779A
3697,45,v24
3698,46,v*-N114A
3699,47,v*-N245
3703,48,wlv1
3707,49,yg2
3226,50,et*-N1001A
