id,Rank,Gene
170,1,r1
2818,2,lc1
2330,3,p1
3952,4,whp1
221,5,bm3
222,6,bm1
2715,7,al1
1281,8,rld1
2759,9,w2
2726,10,lw1
2841,11,y1
3704,12,ws4
2975,13,pg15
2720,14,cp2
2857,15,cp*-N1313
3097,16,dek5
2950,17,pro1
3688,18,pg*-N484B
224,19,g2
1517,20,oy1
3341,21,pg*-N484A
3414,22,ys1
3705,23,wst*-N413A
3706,24,wst*-N548
1218,25,su1
3620,26,sr3
3418,27,sh6
2837,28,blh*-N487C
2838,29,l*-N113
2852,30,d*-N1352B
3194,31,smp*-N586B
3408,32,orp1
3409,33,orp2
3683,34,pg*-N1822A
3694,35,spt1
3695,36,spt2
3696,37,spt*-N1620B
3685,38,pg*-N1885
3331,39,v*-N779A
3697,40,v24
3698,41,v*-N114A
3699,42,v*-N245
3703,43,wlv1
3707,44,yg2
2909,45,cp*-N1294
3226,46,et*-N1001A
3264,47,fl*-N1333B
3325,48,o*-N1384A
3326,49,pg*-N673A
3329,50,v29
