id,Rank,Gene
2840,1,nld1
2899,2,ct2
2965,3,ct1
1040,4,rth1
1858,5,rth3
2692,6,rth2
2693,7,rth6
2690,8,bhlh10
2691,9,rboh1
2852,10,d*-N1352B
2314,11,dwf1
0,12,ns1
1,13,ns2
2849,14,br1
2851,15,bv1
2853,16,sem1
2850,17,br2
3162,18,dp*-4301-43
3163,19,dp*-8925
531,20,an1
6,21,d8
2315,22,d3
5,23,d9
2854,24,bv2
3793,25,sh1
2986,26,ga1
2987,27,ga2
3787,28,apt1
3788,29,ga10
3789,30,ga7
3790,31,ga8
3791,32,lp1
3792,33,sed1
3794,34,stk3
3784,35,mhl1
159,36,ig1
3783,37,hda108
2759,38,w2
2726,39,lw1
2841,40,y1
1218,41,su1
2720,42,cp2
2715,43,al1
3097,44,dek5
224,45,g2
2975,46,pg15
2950,47,pro1
3194,48,smp*-N586B
3620,49,sr3
3226,50,et*-N1001A
