id,Rank,Gene
3784,1,mhl1
2705,2,ad1
167,3,vp10
2707,4,ad*-N377B
1037,5,cr4
2704,6,abcg11
2706,7,ad2
2708,8,ad*-N605B
2709,9,ad*-N613B
2710,10,ad*-N664
2711,11,sdw1
2712,12,trn1
2892,13,ht4
2703,14,ada1
1293,15,lg2
531,16,an1
3144,17,ub1
3894,18,glk58
3895,19,ub2
3896,20,ub3
1583,21,kn1
1045,22,tsh1
1584,23,spi1
3465,24,lgn1
2822,25,vt2
2968,26,wrp1
3242,27,wab1
3334,28,atl1
3795,29,fbr1
3406,30,brta1
1040,31,rth1
1667,32,tb1
3871,33,tb*-poey1013
2733,34,o5
2759,35,w2
2746,36,vp9
2771,37,wlu7
2782,38,w*-N278A
1228,39,ps1
2720,40,cp2
2726,41,lw1
2787,42,y9
2741,43,v35
1881,44,why1
2722,45,emb14
2723,46,emb17
2724,47,emb2
1277,48,ij1
2727,49,lw2
2760,50,w3
