id,Rank,Gene
3198,1,epc1
3196,2,cct1
3197,3,cct2
3199,4,gi1
3200,5,phyB2
1483,6,dlf1
6,7,d8
2852,8,d*-N1352B
2314,9,dwf1
3194,10,smp*-N586B
3195,11,yd2
2815,12,d1
2840,13,nld1
2315,14,d3
3192,15,et*-N617
2822,16,vt2
3187,17,d*-N155B
3191,18,d*-N454A
5,19,d9
2967,20,brd1
2864,21,smp*-N272A
3167,22,smp*-N706A
3193,23,lld1
3189,24,d*-N210
2816,25,d*-3010
2817,26,d*-3685
3176,27,d10
3178,28,d12
3181,29,d5
3177,30,d11
3179,31,d*-3
3180,32,d*-4
3182,33,d*-6
3183,34,d*-8
3184,35,d*-9
3185,36,des*-GG22
3186,37,d*-GFS1994
3188,38,d*-N1883
3190,39,d*-N394
170,40,r1
2818,41,lc1
2891,42,sut1
2330,43,p1
3146,44,rmr6
3141,45,tsh3
3145,46,mads69
3288,47,fdl1
1492,48,si1
2687,49,wcr1
1494,50,gn1
