id,Rank,Gene
2314,1,dwf1
2852,2,d*-N1352B
0,3,ns1
1,4,ns2
2849,5,br1
2851,6,bv1
2853,7,sem1
2850,8,br2
2854,9,bv2
2986,10,ga1
2987,11,ga2
3787,12,apt1
3788,13,ga10
3789,14,ga7
3790,15,ga8
3791,16,lp1
3792,17,sed1
3793,18,sh1
3794,19,stk3
3783,20,hda108
159,21,ig1
3879,22,sg1
2815,23,d1
2726,24,lw1
2719,25,cl1
2746,26,vp9
2727,27,lw2
2760,28,w3
2787,29,y9
2728,30,lw3
2729,31,lw4
2730,32,lw5
2731,33,lw6
2717,34,ws3
2715,35,al1
2841,36,y1
2759,37,w2
3194,38,smp*-N586B
1218,39,su1
2950,40,pro1
3325,41,o*-N1384A
3097,42,dek5
2975,43,pg15
224,44,g2
3418,45,sh6
2720,46,cp2
3693,47,smk*-N1168A
2857,48,cp*-N1313
3696,49,spt*-N1620B
2837,50,blh*-N487C
