from,to,metric,bin1,bin2,bin3,bin4,bin5,bin6
ath,ath,mean,,,,,,
ath,ath,stdev,,,,,,
ath,zma,mean,,,,,,
ath,zma,stdev,,,,,,
zma,ath,mean,,,,,,
zma,ath,stdev,,,,,,
zma,zma,mean,5.923076923076923,2.1538461538461537,0.9230769230769231,0.46153846153846156,0.46153846153846156,1.9230769230769231
zma,zma,stdev,2.0925339244208376,0.9483713850721502,0.9166442529086912,0.6343239424027171,0.6343239424027171,2.9732535523211827
