id,Rank,Gene
2867,1,brn1
166,2,a1
169,3,a2
2876,4,brt1
2866,5,bn1
2868,6,bnk*-N1519C
2869,7,brn2
1227,8,vp5
1228,9,ps1
1277,10,ij1
1877,11,caf2
1878,12,ppr5
1879,13,rnc1
1880,14,crs2
1881,15,why1
1882,16,wtf1
2718,17,caf1
2719,18,cl1
2720,19,cp2
2721,20,cptk1
2722,21,emb14
2723,22,emb17
2724,23,emb2
2725,24,l*-N612B
2726,25,lw1
2727,26,lw2
2728,27,lw3
2729,28,lw4
2730,29,lw5
2731,30,lw6
2732,31,mterf4
2733,32,o5
2734,33,ppr103
2735,34,ppr2
2736,35,ppr4
2737,36,ppr405
2738,37,prda1
2739,38,ptac14
2740,39,v18
2741,40,v35
2742,41,v8
2743,42,v*-N29
2744,43,vp2
2745,44,vp*-5111
2746,45,vp9
2747,46,vp*-N1136B
2748,47,w*-017-14
2749,48,w*-018-3
2750,49,w*-021-7
2751,50,w*-062-3
