id,Rank,Gene
221,1,bm3
222,2,bm1
2867,3,brn1
2866,4,bn1
166,5,a1
169,6,a2
3153,7,in1
2330,8,p1
2847,9,bf1
2870,10,spc1
2871,11,bm2
2872,12,bm4
2873,13,bm5
2874,14,bm6
2733,15,o5
2746,16,vp9
2759,17,w2
2771,18,wlu7
2782,19,w*-N278A
1227,20,vp5
1228,21,ps1
1277,22,ij1
1877,23,caf2
1878,24,ppr5
1879,25,rnc1
1880,26,crs2
1881,27,why1
1882,28,wtf1
2718,29,caf1
2719,30,cl1
2720,31,cp2
2721,32,cptk1
2722,33,emb14
2723,34,emb17
2724,35,emb2
2725,36,l*-N612B
2726,37,lw1
2727,38,lw2
2728,39,lw3
2729,40,lw4
2730,41,lw5
2731,42,lw6
2732,43,mterf4
2734,44,ppr103
2735,45,ppr2
2736,46,ppr4
2737,47,ppr405
2738,48,prda1
2739,49,ptac14
2740,50,v18
