id,Rank,Gene
2818,1,lc1
170,2,r1
168,3,b1
164,4,pl1
2846,5,spb1
2844,6,cpd1
2845,7,cpd33
165,8,c1
166,9,a1
169,10,a2
167,11,vp10
2958,12,beta
2959,13,mdr1
2960,14,Sc
2961,15,scm1
1226,16,vp1
1216,17,c2
2886,18,hopi1
2887,19,sn1
3762,20,rmr1
2843,21,skb1
3763,22,rmr2
3761,23,pr1
2974,24,oro1
3507,25,oro2
3508,26,oro4
1735,27,pac1
2330,28,p1
2719,29,cl1
2866,30,bn1
967,31,dek1
2902,32,anl1
2962,33,cl*-N795
2963,34,cl*-N801
2964,35,cl*-N818A
3670,36,alpha
3866,37,ysk1
3778,38,aat1
3153,39,in1
218,40,bz1
219,41,bz2
2744,42,vp2
2748,43,w*-017-14
2752,44,w1
2786,45,y10
1223,46,vp8
1224,47,vp14
1225,48,vp15
2841,49,y1
3059,50,emb*-8532
