Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	a2	GRMZM2G345717	1.000	Aleuron layer is colored.	Aleuron layer is colored.	169
1	Maize	a2	GRMZM2G345717	1.000	Anthers are green.	Anthers are green.	169
1	Maize	a2	GRMZM2G345717	1.000	Anthers are green.	Green anthers.	169
1	Maize	a2	GRMZM2G345717	1.000	Aleuron layer is colored, leading to a colored kernel.	Aleuron layer is colored, leading to a colored kernel.	169
1	Maize	a2	GRMZM2G345717	1.000	Anthers are green, rather than the normal yellow.	Anthers are green, rather than the normal yellow.	169
1	Maize	a2	GRMZM2G345717	1.000	Colored aleurone.	Colored aleurone.	169
1	Maize	a2	GRMZM2G345717	1.000	Anthocyanin color with A1 A2 C1 C2 R1.	Anthocyanin color with A1 A2 C1 C2 R1.	169
1	Maize	a2	GRMZM2G345717	1.000	Would be purple if with Pr1, Bz1 and Bz2.	Would be purple if with Pr1, Bz1 and Bz2.	169
1	Maize	a2	GRMZM2G345717	1.000	Colorless aleurone.	Colorless aleurone.	169
1	Maize	a2	GRMZM2G345717	1.000	No color in the aleurone, specifically no color due to anthocyanins.	No color in the aleurone, specifically no color due to anthocyanins.	169
1	Maize	a2	GRMZM2G345717	1.000	Colorless aleurone with pigmented sectors.	Colorless aleurone with pigmented sectors.	169
1	Maize	a2	GRMZM2G345717	1.000	However, anthocyanin pigmented sectors are present.	However, anthocyanin pigmented sectors are present.	169
1	Maize	a2	GRMZM2G345717	1.000	Green anthers.	Anthers are green.	169
1	Maize	a2	GRMZM2G345717	1.000	Green anthers.	Green anthers.	169
1	Maize	a2	GRMZM2G345717	1.000	Non-pigmented.	Non-pigmented.	169
1	Maize	a2	GRMZM2G345717	1.000	Usually appear to be yellow.	Usually appear to be yellow.	169
1	Maize	a2	GRMZM2G345717	1.000	Green or brown plant.	Green or brown plant.	169
1	Maize	a2	GRMZM2G345717	1.000	Spotted aleurone.	Spotted aleurone.	169
1	Maize	a2	GRMZM2G345717	0.812	Aleuron layer is colored.	Aleuron layer is colored, leading to a colored kernel.	169
1	Maize	a2	GRMZM2G345717	0.812	Aleuron layer is colored, leading to a colored kernel.	Aleuron layer is colored.	169
1	Maize	a2	GRMZM2G345717	0.808	Aleuron layer is colored.	Colored aleurone.	169
1	Maize	a2	GRMZM2G345717	0.808	Colored aleurone.	Aleuron layer is colored.	169
1	Maize	a2	GRMZM2G345717	0.771	Colored aleurone.	No color in the aleurone, specifically no color due to anthocyanins.	169
1	Maize	a2	GRMZM2G345717	0.771	No color in the aleurone, specifically no color due to anthocyanins.	Colored aleurone.	169
1	Maize	a2	GRMZM2G345717	0.753	Anthers are green.	Anthers are green, rather than the normal yellow.	169
1	Maize	a2	GRMZM2G345717	0.753	Anthers are green, rather than the normal yellow.	Anthers are green.	169
1	Maize	a2	GRMZM2G345717	0.753	Anthers are green, rather than the normal yellow.	Green anthers.	169
1	Maize	a2	GRMZM2G345717	0.753	Green anthers.	Anthers are green, rather than the normal yellow.	169
1	Maize	a2	GRMZM2G345717	0.746	Anthocyanin color with A1 A2 C1 C2 R1.	No color in the aleurone, specifically no color due to anthocyanins.	169
1	Maize	a2	GRMZM2G345717	0.746	No color in the aleurone, specifically no color due to anthocyanins.	Anthocyanin color with A1 A2 C1 C2 R1.	169
1	Maize	a2	GRMZM2G345717	0.742	Colorless aleurone.	Colorless aleurone with pigmented sectors.	169
1	Maize	a2	GRMZM2G345717	0.742	Colorless aleurone with pigmented sectors.	Colorless aleurone.	169
1	Maize	a2	GRMZM2G345717	0.727	Aleuron layer is colored, leading to a colored kernel.	Colored aleurone.	169
1	Maize	a2	GRMZM2G345717	0.727	Colored aleurone.	Aleuron layer is colored, leading to a colored kernel.	169
1	Maize	a2	GRMZM2G345717	0.630	Aleuron layer is colored, leading to a colored kernel.	No color in the aleurone, specifically no color due to anthocyanins.	169
1	Maize	a2	GRMZM2G345717	0.630	No color in the aleurone, specifically no color due to anthocyanins.	Aleuron layer is colored, leading to a colored kernel.	169
1	Maize	a2	GRMZM2G345717	0.624	Aleuron layer is colored.	No color in the aleurone, specifically no color due to anthocyanins.	169
1	Maize	a2	GRMZM2G345717	0.624	No color in the aleurone, specifically no color due to anthocyanins.	Aleuron layer is colored.	169
