Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	pr1	GRMZM2G025832	1.000	Purple aleurone.	Purple aleurone.	3761
1	Maize	pr1	GRMZM2G025832	1.000	Aleuron layer is colored, leading to a colored kernel.	Aleuron layer is colored, leading to a colored kernel.	3761
1	Maize	pr1	GRMZM2G025832	1.000	Anthocyanin color with A1 A2 C1 C2 R1 -PLUS- Pr1 Bz1 and Bz2.	Anthocyanin color with A1 A2 C1 C2 R1 -PLUS- Pr1 Bz1 and Bz2.	3761
1	Maize	pr1	GRMZM2G025832	1.000	Red aleurone.	Red aleurone.	3761
1	Maize	pr1	GRMZM2G025832	0.509	Purple aleurone.	Red aleurone.	3761
1	Maize	pr1	GRMZM2G025832	0.509	Red aleurone.	Purple aleurone.	3761
1	Maize	pr1	GRMZM2G025832	0.308	Aleuron layer is colored, leading to a colored kernel.	Red aleurone.	3761
1	Maize	pr1	GRMZM2G025832	0.308	Red aleurone.	Aleuron layer is colored, leading to a colored kernel.	3761
1	Maize	pr1	GRMZM2G025832	0.277	Purple aleurone.	Aleuron layer is colored, leading to a colored kernel.	3761
1	Maize	pr1	GRMZM2G025832	0.277	Aleuron layer is colored, leading to a colored kernel.	Purple aleurone.	3761
1	Maize	pr1	GRMZM2G025832	0.273	Aleuron layer is colored, leading to a colored kernel.	Anthocyanin color with A1 A2 C1 C2 R1 -PLUS- Pr1 Bz1 and Bz2.	3761
1	Maize	pr1	GRMZM2G025832	0.273	Anthocyanin color with A1 A2 C1 C2 R1 -PLUS- Pr1 Bz1 and Bz2.	Aleuron layer is colored, leading to a colored kernel.	3761
1	Maize	pr1	GRMZM2G025832	0.000	Purple aleurone.	Anthocyanin color with A1 A2 C1 C2 R1 -PLUS- Pr1 Bz1 and Bz2.	3761
1	Maize	pr1	GRMZM2G025832	0.000	Anthocyanin color with A1 A2 C1 C2 R1 -PLUS- Pr1 Bz1 and Bz2.	Purple aleurone.	3761
1	Maize	pr1	GRMZM2G025832	0.000	Anthocyanin color with A1 A2 C1 C2 R1 -PLUS- Pr1 Bz1 and Bz2.	Red aleurone.	3761
