Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	c2	GRMZM2G422750	1.000	Aleurone layer mottled.	Aleurone layer mottled.	1216
1	Maize	c2	GRMZM2G422750	1.000	Irregular distribution of color among aleurone cells with appropriate anthocyanin genes.	Irregular distribution of color among aleurone cells with appropriate anthocyanin genes.	1216
1	Maize	c2	GRMZM2G422750	1.000	Typically, R mottling.	Typically, R mottling.	1216
1	Maize	c2	GRMZM2G422750	1.000	Colorless aleurone.	Colorless aleurone.	1216
1	Maize	c2	GRMZM2G422750	1.000	No color in the aleurone, specifically no color due to anthocyanins.	No color in the aleurone, specifically no color due to anthocyanins.	1216
1	Maize	c2	GRMZM2G422750	1.000	Colorless aleurone with pigmented sectors.	Colorless aleurone with pigmented sectors.	1216
1	Maize	c2	GRMZM2G422750	1.000	However, anthocyanin pigmented sectors are present.	However, anthocyanin pigmented sectors are present.	1216
1	Maize	c2	GRMZM2G422750	1.000	Diffuse pericarp color.	Diffuse pericarp color.	1216
1	Maize	c2	GRMZM2G422750	1.000	Dilute pericarp color with P1-RR.	Dilute pericarp color with P1-RR.	1216
1	Maize	c2	GRMZM2G422750	1.000	Sectors diffuse-edged rather than sharp.	Sectors diffuse-edged rather than sharp.	1216
1	Maize	c2	GRMZM2G422750	1.000	Dilute aleurone color.	Dilute aleurone color.	1216
1	Maize	c2	GRMZM2G422750	1.000	Dilute aleurone color.	Aleurone color diluted.	1216
1	Maize	c2	GRMZM2G422750	1.000	Aleurone color diluted.	Dilute aleurone color.	1216
1	Maize	c2	GRMZM2G422750	1.000	Aleurone color diluted.	Aleurone color diluted.	1216
1	Maize	c2	GRMZM2G422750	1.000	Mottled kernel.	Mottled kernel.	1216
1	Maize	c2	GRMZM2G422750	1.000	Pale aleurone.	Pale aleurone.	1216
1	Maize	c2	GRMZM2G422750	1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	1216
1	Maize	c2	GRMZM2G422750	1.000	Spotted aleurone.	Spotted aleurone.	1216
1	Maize	c2	GRMZM2G422750	0.742	Colorless aleurone.	Colorless aleurone with pigmented sectors.	1216
1	Maize	c2	GRMZM2G422750	0.742	Colorless aleurone with pigmented sectors.	Colorless aleurone.	1216
1	Maize	c2	GRMZM2G422750	0.687	Typically, R mottling.	Mottled kernel.	1216
1	Maize	c2	GRMZM2G422750	0.687	Mottled kernel.	Typically, R mottling.	1216
1	Maize	c2	GRMZM2G422750	0.679	Dilute pericarp color with P1-RR.	Dilute aleurone color.	1216
1	Maize	c2	GRMZM2G422750	0.679	Dilute pericarp color with P1-RR.	Aleurone color diluted.	1216
1	Maize	c2	GRMZM2G422750	0.679	Dilute aleurone color.	Dilute pericarp color with P1-RR.	1216
1	Maize	c2	GRMZM2G422750	0.679	Aleurone color diluted.	Dilute pericarp color with P1-RR.	1216
1	Maize	c2	GRMZM2G422750	0.668	Dilute aleurone color.	Light-colored aleurone, lighter than dilute and less brown than bronze.	1216
