Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	bz2	GRMZM2G016241	1.000	Aleurone color is bronze.	Aleurone color is bronze.	219
1	Maize	bz2	GRMZM2G016241	1.000	Whole plant color can be bronze.	Whole plant color can be bronze.	219
1	Maize	bz2	GRMZM2G016241	1.000	Bronze or dilute purple aleurone color.	Bronze or dilute purple aleurone color.	219
1	Maize	bz2	GRMZM2G016241	1.000	Anthers not fluorescent.	Anthers not fluorescent.	219
1	Maize	bz2	GRMZM2G016241	1.000	With appropriate complementary factors, mutant is expressed in all tissues competent to form anthocyanins.	With appropriate complementary factors, mutant is expressed in all tissues competent to form anthocyanins.	219
1	Maize	bz2	GRMZM2G016241	1.000	Bronze aleurone.	Bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	1.000	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	219
1	Maize	bz2	GRMZM2G016241	1.000	Aleuron layer is colored, leading to a colored kernel.	Aleuron layer is colored, leading to a colored kernel.	219
1	Maize	bz2	GRMZM2G016241	1.000	Anthocyanin color with A1 A2 C1 C2 R1 -PLUS- Pr1 Bz1 and Bz2.	Anthocyanin color with A1 A2 C1 C2 R1 -PLUS- Pr1 Bz1 and Bz2.	219
1	Maize	bz2	GRMZM2G016241	1.000	Purple spots on bronze aleurone.	Purple spots on bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.898	Aleurone color is bronze.	Bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.898	Bronze aleurone.	Aleurone color is bronze.	219
1	Maize	bz2	GRMZM2G016241	0.838	Bronze or dilute purple aleurone color.	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.838	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	Bronze or dilute purple aleurone color.	219
1	Maize	bz2	GRMZM2G016241	0.793	Aleurone color is bronze.	Whole plant color can be bronze.	219
1	Maize	bz2	GRMZM2G016241	0.793	Whole plant color can be bronze.	Aleurone color is bronze.	219
1	Maize	bz2	GRMZM2G016241	0.737	Aleurone color is bronze.	Bronze or dilute purple aleurone color.	219
1	Maize	bz2	GRMZM2G016241	0.737	Bronze or dilute purple aleurone color.	Aleurone color is bronze.	219
1	Maize	bz2	GRMZM2G016241	0.717	Bronze aleurone.	Purple spots on bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.717	Purple spots on bronze aleurone.	Bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.686	Bronze or dilute purple aleurone color.	Purple spots on bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.686	Purple spots on bronze aleurone.	Bronze or dilute purple aleurone color.	219
1	Maize	bz2	GRMZM2G016241	0.664	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	Purple spots on bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.664	Purple spots on bronze aleurone.	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.661	Bronze or dilute purple aleurone color.	Bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.661	Bronze aleurone.	Bronze or dilute purple aleurone color.	219
1	Maize	bz2	GRMZM2G016241	0.643	Aleurone color is bronze.	Purple spots on bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.643	Purple spots on bronze aleurone.	Aleurone color is bronze.	219
1	Maize	bz2	GRMZM2G016241	0.637	Whole plant color can be bronze.	Bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.637	Bronze aleurone.	Whole plant color can be bronze.	219
1	Maize	bz2	GRMZM2G016241	0.592	Aleurone color is bronze.	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.592	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	Aleurone color is bronze.	219
1	Maize	bz2	GRMZM2G016241	0.584	Whole plant color can be bronze.	Bronze or dilute purple aleurone color.	219
1	Maize	bz2	GRMZM2G016241	0.584	Bronze or dilute purple aleurone color.	Whole plant color can be bronze.	219
1	Maize	bz2	GRMZM2G016241	0.561	Bronze aleurone.	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.561	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	Bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.513	Aleurone color is bronze.	Aleuron layer is colored, leading to a colored kernel.	219
1	Maize	bz2	GRMZM2G016241	0.513	Aleuron layer is colored, leading to a colored kernel.	Aleurone color is bronze.	219
1	Maize	bz2	GRMZM2G016241	0.456	Whole plant color can be bronze.	Purple spots on bronze aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.456	Purple spots on bronze aleurone.	Whole plant color can be bronze.	219
1	Maize	bz2	GRMZM2G016241	0.398	Whole plant color can be bronze.	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.398	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	Whole plant color can be bronze.	219
1	Maize	bz2	GRMZM2G016241	0.378	Bronze or dilute purple aleurone color.	Aleuron layer is colored, leading to a colored kernel.	219
1	Maize	bz2	GRMZM2G016241	0.378	Aleuron layer is colored, leading to a colored kernel.	Bronze or dilute purple aleurone color.	219
1	Maize	bz2	GRMZM2G016241	0.335	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	Aleuron layer is colored, leading to a colored kernel.	219
1	Maize	bz2	GRMZM2G016241	0.335	Aleuron layer is colored, leading to a colored kernel.	Bronze or dilute purple aleurone color, green or brown plant, red pericarp with P. Purple aleurone.	219
1	Maize	bz2	GRMZM2G016241	0.328	Whole plant color can be bronze.	Aleuron layer is colored, leading to a colored kernel.	219
1	Maize	bz2	GRMZM2G016241	0.328	Aleuron layer is colored, leading to a colored kernel.	Whole plant color can be bronze.	219
