Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	b1	GRMZM2G172795	1.000	Aleuron layer is colored.	Aleuron layer is colored.	168
1	Maize	b1	GRMZM2G172795	1.000	Blotches of anthocyanin pigmentation due to cell to cell variability in the levels of anthocyanin production.	Blotches of anthocyanin pigmentation due to cell to cell variability in the levels of anthocyanin production.	168
1	Maize	b1	GRMZM2G172795	1.000	Striped leaves.	Striped leaves.	168
1	Maize	b1	GRMZM2G172795	1.000	Striped stems.	Striped stems.	168
1	Maize	b1	GRMZM2G172795	1.000	Anthocyanin pigmented sectors in aleurone.	Anthocyanin pigmented sectors in aleurone.	168
1	Maize	b1	GRMZM2G172795	1.000	Aleuron layer is colored, leading to a colored kernel.	Aleuron layer is colored, leading to a colored kernel.	168
1	Maize	b1	GRMZM2G172795	1.000	Leaves and stem appear to have clonal stripes of anthocyanin.	Leaves and stem appear to have clonal stripes of anthocyanin.	168
1	Maize	b1	GRMZM2G172795	1.000	Close examination of these pigmented stripes reveals blotches of anthocyanin pigmentation due to cell to cell variability in the levels of anthocyanin production.	Close examination of these pigmented stripes reveals blotches of anthocyanin pigmentation due to cell to cell variability in the levels of anthocyanin production.	168
1	Maize	b1	GRMZM2G172795	1.000	No color in the aleurone, specifically no color due to anthocyanins.	No color in the aleurone, specifically no color due to anthocyanins.	168
1	Maize	b1	GRMZM2G172795	1.000	However, anthocyanin pigmented sectors are present.	However, anthocyanin pigmented sectors are present.	168
1	Maize	b1	GRMZM2G172795	1.000	Blotched plant anthocyanin pigmentation.	Blotched plant anthocyanin pigmentation.	168
1	Maize	b1	GRMZM2G172795	1.000	Blotched plant anthocyanin pigmentation.	Plant anthocyanin pigment blotching.	168
1	Maize	b1	GRMZM2G172795	1.000	Plant anthocyanin pigment blotching.	Blotched plant anthocyanin pigmentation.	168
1	Maize	b1	GRMZM2G172795	1.000	Plant anthocyanin pigment blotching.	Plant anthocyanin pigment blotching.	168
1	Maize	b1	GRMZM2G172795	1.000	Colored aleurone.	Colored aleurone.	168
1	Maize	b1	GRMZM2G172795	1.000	Anthocyanin color with A1 A2 C1 C2 R1.	Anthocyanin color with A1 A2 C1 C2 R1.	168
1	Maize	b1	GRMZM2G172795	1.000	Would be purple if with Pr1, Bz1 and Bz2.	Would be purple if with Pr1, Bz1 and Bz2.	168
1	Maize	b1	GRMZM2G172795	1.000	Colored glume bar.	Colored glume bar.	168
1	Maize	b1	GRMZM2G172795	1.000	Colored plant.	Colored plant.	168
1	Maize	b1	GRMZM2G172795	1.000	Colored scutellum.	Colored scutellum.	168
1	Maize	b1	GRMZM2G172795	1.000	Anthocyanin pigment in scutellar tissue and embryo.	Anthocyanin pigment in scutellar tissue and embryo.	168
1	Maize	b1	GRMZM2G172795	1.000	Distinct from purple plumule which has pigment in the embro axis only.	Distinct from purple plumule which has pigment in the embro axis only.	168
1	Maize	b1	GRMZM2G172795	1.000	Also distinct from embryonic axis profile/color halo trait.	Also distinct from embryonic axis profile/color halo trait.	168
1	Maize	b1	GRMZM2G172795	1.000	Expression varies between backgrounds.	Expression varies between backgrounds.	168
1	Maize	b1	GRMZM2G172795	1.000	Colorless aleurone.	Colorless aleurone.	168
1	Maize	b1	GRMZM2G172795	1.000	Colorless aleurone with pigmented sectors.	Colorless aleurone with pigmented sectors.	168
1	Maize	b1	GRMZM2G172795	1.000	Green plant.	Green plant.	168
1	Maize	b1	GRMZM2G172795	1.000	Pale aleurone.	Pale aleurone.	168
1	Maize	b1	GRMZM2G172795	1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	168
1	Maize	b1	GRMZM2G172795	1.000	Pale purple husks.	Pale purple husks.	168
1	Maize	b1	GRMZM2G172795	1.000	Purple auricle.	Purple auricle.	168
1	Maize	b1	GRMZM2G172795	1.000	Anthocyanin pigment in auricle.	Anthocyanin pigment in auricle.	168
1	Maize	b1	GRMZM2G172795	1.000	Distinct from red auricle.	Distinct from red auricle.	168
1	Maize	b1	GRMZM2G172795	1.000	Requires Pl1.	Requires Pl1.	168
1	Maize	b1	GRMZM2G172795	1.000	Purple plant.	Purple plant.	168
1	Maize	b1	GRMZM2G172795	1.000	Purple tassel glume bars.	Purple tassel glume bars.	168
1	Maize	b1	GRMZM2G172795	1.000	Purple tassel glume faces.	Purple tassel glume faces.	168
1	Maize	b1	GRMZM2G172795	1.000	Striped purple plant.	Striped purple plant.	168
1	Maize	b1	GRMZM2G172795	1.000	Twin spots.	Twin spots.	168
1	Maize	b1	GRMZM2G172795	1.000	Weakly striped purple plant.	Weakly striped purple plant.	168
1	Maize	b1	GRMZM2G172795	1.000	Weak purple plant.	Weak purple plant.	168
1	Maize	b1	GRMZM2G172795	1.000	Very pale or weak anthocyanin pigment expression in vegetative tissues.	Very pale or weak anthocyanin pigment expression in vegetative tissues.	168
1	Maize	b1	GRMZM2G172795	0.911	Would be purple if with Pr1, Bz1 and Bz2.	Purple plant.	168
1	Maize	b1	GRMZM2G172795	0.911	Purple plant.	Would be purple if with Pr1, Bz1 and Bz2.	168
