Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	pac1	GRMZM2G058292	1.000	Reduced pigmentation in aleurone.	Reduced pigmentation in aleurone.	1735
1	Maize	pac1	GRMZM2G058292	1.000	Pale aleurone.	Pale aleurone.	1735
1	Maize	pac1	GRMZM2G058292	1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	1735
1	Maize	pac1	GRMZM2G058292	0.623	Reduced pigmentation in aleurone.	Pale aleurone.	1735
1	Maize	pac1	GRMZM2G058292	0.623	Pale aleurone.	Reduced pigmentation in aleurone.	1735
1	Maize	pac1	GRMZM2G058292	0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	1735
1	Maize	pac1	GRMZM2G058292	0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	1735
1	Maize	pac1	GRMZM2G058292	0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	1735
1	Maize	pac1	GRMZM2G058292	0.278	Light-colored aleurone, lighter than dilute and less brown than bronze.	Reduced pigmentation in aleurone.	1735
2	Maize	Nc3		1.000	Pale aleurone.	Pale aleurone.	3676
2	Maize	Nc3		1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3676
2	Maize	Nc3		0.623	Reduced pigmentation in aleurone.	Pale aleurone.	3676
2	Maize	Nc3		0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3676
2	Maize	Nc3		0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	3676
2	Maize	Nc3		0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3676
3	Maize	Nc2		1.000	Pale aleurone.	Pale aleurone.	3675
3	Maize	Nc2		1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3675
3	Maize	Nc2		0.623	Reduced pigmentation in aleurone.	Pale aleurone.	3675
3	Maize	Nc2		0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3675
3	Maize	Nc2		0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	3675
3	Maize	Nc2		0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3675
4	Maize	inr2		1.000	Pale aleurone.	Pale aleurone.	3673
4	Maize	inr2		1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3673
4	Maize	inr2		0.623	Reduced pigmentation in aleurone.	Pale aleurone.	3673
4	Maize	inr2		0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3673
4	Maize	inr2		0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	3673
4	Maize	inr2		0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3673
5	Maize	inr1		1.000	Pale aleurone.	Pale aleurone.	3672
5	Maize	inr1		1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3672
5	Maize	inr1		0.623	Reduced pigmentation in aleurone.	Pale aleurone.	3672
5	Maize	inr1		0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3672
5	Maize	inr1		0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	3672
5	Maize	inr1		0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3672
6	Maize	enr1		1.000	Pale aleurone.	Pale aleurone.	3671
6	Maize	enr1		1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3671
6	Maize	enr1		0.659	Pale aleurone.	Pale aleurone, with pigmented sectors.	3671
6	Maize	enr1		0.639	Reduced pigmentation in aleurone.	Pale aleurone, with pigmented sectors.	3671
6	Maize	enr1		0.623	Reduced pigmentation in aleurone.	Pale aleurone.	3671
6	Maize	enr1		0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3671
6	Maize	enr1		0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	3671
6	Maize	enr1		0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3671
6	Maize	enr1		0.205	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone, with pigmented sectors.	3671
7	Maize	alpha		1.000	Pale aleurone.	Pale aleurone.	3670
7	Maize	alpha		1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3670
7	Maize	alpha		0.623	Reduced pigmentation in aleurone.	Pale aleurone.	3670
7	Maize	alpha		0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3670
7	Maize	alpha		0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	3670
7	Maize	alpha		0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3670
7	Maize	alpha		0.201	Pale aleurone.	Pale purple husks.	3670
7	Maize	alpha		0.000	Reduced pigmentation in aleurone.	Pale purple husks.	3670
7	Maize	alpha		0.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale purple husks.	3670
8	Maize	in1	GRMZM2G042733	1.000	Pale aleurone.	Pale aleurone.	3153
8	Maize	in1	GRMZM2G042733	1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3153
8	Maize	in1	GRMZM2G042733	0.668	Light-colored aleurone, lighter than dilute and less brown than bronze.	Dilute aleurone color.	3153
8	Maize	in1	GRMZM2G042733	0.668	Light-colored aleurone, lighter than dilute and less brown than bronze.	Aleurone color diluted.	3153
8	Maize	in1	GRMZM2G042733	0.623	Reduced pigmentation in aleurone.	Pale aleurone.	3153
8	Maize	in1	GRMZM2G042733	0.477	Reduced pigmentation in aleurone.	Intensifies anthocyanin and related pigments in the aleurone.	3153
8	Maize	in1	GRMZM2G042733	0.465	Pale aleurone.	Dilute aleurone color.	3153
8	Maize	in1	GRMZM2G042733	0.465	Pale aleurone.	Aleurone color diluted.	3153
8	Maize	in1	GRMZM2G042733	0.417	Reduced pigmentation in aleurone.	Dilute aleurone color.	3153
8	Maize	in1	GRMZM2G042733	0.417	Reduced pigmentation in aleurone.	Aleurone color diluted.	3153
8	Maize	in1	GRMZM2G042733	0.343	Pale aleurone.	Intensifies anthocyanin and related pigments in the aleurone.	3153
8	Maize	in1	GRMZM2G042733	0.332	Pale aleurone.	Red aleurone to deep red.	3153
8	Maize	in1	GRMZM2G042733	0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3153
8	Maize	in1	GRMZM2G042733	0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	3153
8	Maize	in1	GRMZM2G042733	0.297	Reduced pigmentation in aleurone.	Red aleurone to deep red.	3153
8	Maize	in1	GRMZM2G042733	0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3153
8	Maize	in1	GRMZM2G042733	0.201	Reduced pigmentation in aleurone.	Expressed as brown pigment in kernels recessive for a1 or a2 or bz1 or bz2.	3153
8	Maize	in1	GRMZM2G042733	0.161	Light-colored aleurone, lighter than dilute and less brown than bronze.	Expressed as brown pigment in kernels recessive for a1 or a2 or bz1 or bz2.	3153
8	Maize	in1	GRMZM2G042733	0.153	Light-colored aleurone, lighter than dilute and less brown than bronze.	Intensifies anthocyanin and related pigments in the aleurone.	3153
8	Maize	in1	GRMZM2G042733	0.148	Light-colored aleurone, lighter than dilute and less brown than bronze.	Red aleurone to deep red.	3153
8	Maize	in1	GRMZM2G042733	0.120	Reduced pigmentation in aleurone.	Variable expression in the pericarp over intensely pigmented kernels homozygous for color factors and in1 in the underlying endosperm (metaxenia).	3153
8	Maize	in1	GRMZM2G042733	0.069	Light-colored aleurone, lighter than dilute and less brown than bronze.	Variable expression in the pericarp over intensely pigmented kernels homozygous for color factors and in1 in the underlying endosperm (metaxenia).	3153
8	Maize	in1	GRMZM2G042733	0.000	Reduced pigmentation in aleurone.	Golden sheen metaxenia.	3153
8	Maize	in1	GRMZM2G042733	0.000	Reduced pigmentation in aleurone.	Intensifier.	3153
8	Maize	in1	GRMZM2G042733	0.000	Pale aleurone.	Golden sheen metaxenia.	3153
8	Maize	in1	GRMZM2G042733	0.000	Pale aleurone.	Variable expression in the pericarp over intensely pigmented kernels homozygous for color factors and in1 in the underlying endosperm (metaxenia).	3153
8	Maize	in1	GRMZM2G042733	0.000	Pale aleurone.	Expressed as brown pigment in kernels recessive for a1 or a2 or bz1 or bz2.	3153
8	Maize	in1	GRMZM2G042733	0.000	Pale aleurone.	Intensifier.	3153
8	Maize	in1	GRMZM2G042733	0.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Golden sheen metaxenia.	3153
8	Maize	in1	GRMZM2G042733	0.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Intensifier.	3153
9	Maize	Nc1	GRMZM2G047616	1.000	Pale aleurone.	Pale aleurone.	3674
9	Maize	Nc1	GRMZM2G047616	1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3674
9	Maize	Nc1	GRMZM2G047616	0.623	Reduced pigmentation in aleurone.	Pale aleurone.	3674
9	Maize	Nc1	GRMZM2G047616	0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3674
9	Maize	Nc1	GRMZM2G047616	0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	3674
9	Maize	Nc1	GRMZM2G047616	0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	3674
9	Maize	Nc1	GRMZM2G047616	0.000	Reduced pigmentation in aleurone.	Salt stress intolerant.	3674
9	Maize	Nc1	GRMZM2G047616	0.000	Reduced pigmentation in aleurone.	Salt stress tolerant.	3674
9	Maize	Nc1	GRMZM2G047616	0.000	Pale aleurone.	Salt stress intolerant.	3674
9	Maize	Nc1	GRMZM2G047616	0.000	Pale aleurone.	Salt stress tolerant.	3674
9	Maize	Nc1	GRMZM2G047616	0.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Salt stress intolerant.	3674
9	Maize	Nc1	GRMZM2G047616	0.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Salt stress tolerant.	3674
10	Maize	c2	GRMZM2G422750	1.000	Pale aleurone.	Pale aleurone.	1216
10	Maize	c2	GRMZM2G422750	1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	1216
10	Maize	c2	GRMZM2G422750	0.668	Light-colored aleurone, lighter than dilute and less brown than bronze.	Dilute aleurone color.	1216
10	Maize	c2	GRMZM2G422750	0.668	Light-colored aleurone, lighter than dilute and less brown than bronze.	Aleurone color diluted.	1216
10	Maize	c2	GRMZM2G422750	0.623	Reduced pigmentation in aleurone.	Pale aleurone.	1216
10	Maize	c2	GRMZM2G422750	0.570	Reduced pigmentation in aleurone.	Colorless aleurone with pigmented sectors.	1216
10	Maize	c2	GRMZM2G422750	0.551	Pale aleurone.	Colorless aleurone.	1216
10	Maize	c2	GRMZM2G422750	0.548	Pale aleurone.	Spotted aleurone.	1216
10	Maize	c2	GRMZM2G422750	0.494	Reduced pigmentation in aleurone.	Colorless aleurone.	1216
10	Maize	c2	GRMZM2G422750	0.490	Reduced pigmentation in aleurone.	Spotted aleurone.	1216
10	Maize	c2	GRMZM2G422750	0.465	Pale aleurone.	Dilute aleurone color.	1216
10	Maize	c2	GRMZM2G422750	0.465	Pale aleurone.	Aleurone color diluted.	1216
10	Maize	c2	GRMZM2G422750	0.454	Light-colored aleurone, lighter than dilute and less brown than bronze.	Dilute pericarp color with P1-RR.	1216
10	Maize	c2	GRMZM2G422750	0.437	Pale aleurone.	Aleurone layer mottled.	1216
10	Maize	c2	GRMZM2G422750	0.417	Reduced pigmentation in aleurone.	Dilute aleurone color.	1216
10	Maize	c2	GRMZM2G422750	0.417	Reduced pigmentation in aleurone.	Aleurone color diluted.	1216
10	Maize	c2	GRMZM2G422750	0.409	Pale aleurone.	Colorless aleurone with pigmented sectors.	1216
10	Maize	c2	GRMZM2G422750	0.391	Reduced pigmentation in aleurone.	Aleurone layer mottled.	1216
10	Maize	c2	GRMZM2G422750	0.368	Light-colored aleurone, lighter than dilute and less brown than bronze.	No color in the aleurone, specifically no color due to anthocyanins.	1216
10	Maize	c2	GRMZM2G422750	0.362	Pale aleurone.	No color in the aleurone, specifically no color due to anthocyanins.	1216
10	Maize	c2	GRMZM2G422750	0.324	Reduced pigmentation in aleurone.	No color in the aleurone, specifically no color due to anthocyanins.	1216
10	Maize	c2	GRMZM2G422750	0.320	Pale aleurone.	Irregular distribution of color among aleurone cells with appropriate anthocyanin genes.	1216
10	Maize	c2	GRMZM2G422750	0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	1216
10	Maize	c2	GRMZM2G422750	0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	1216
10	Maize	c2	GRMZM2G422750	0.286	Reduced pigmentation in aleurone.	Irregular distribution of color among aleurone cells with appropriate anthocyanin genes.	1216
10	Maize	c2	GRMZM2G422750	0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	1216
10	Maize	c2	GRMZM2G422750	0.246	Light-colored aleurone, lighter than dilute and less brown than bronze.	Colorless aleurone.	1216
10	Maize	c2	GRMZM2G422750	0.245	Light-colored aleurone, lighter than dilute and less brown than bronze.	Spotted aleurone.	1216
10	Maize	c2	GRMZM2G422750	0.234	Light-colored aleurone, lighter than dilute and less brown than bronze.	Irregular distribution of color among aleurone cells with appropriate anthocyanin genes.	1216
10	Maize	c2	GRMZM2G422750	0.216	Reduced pigmentation in aleurone.	However, anthocyanin pigmented sectors are present.	1216
10	Maize	c2	GRMZM2G422750	0.195	Light-colored aleurone, lighter than dilute and less brown than bronze.	Aleurone layer mottled.	1216
10	Maize	c2	GRMZM2G422750	0.183	Light-colored aleurone, lighter than dilute and less brown than bronze.	Colorless aleurone with pigmented sectors.	1216
10	Maize	c2	GRMZM2G422750	0.120	Light-colored aleurone, lighter than dilute and less brown than bronze.	Diffuse pericarp color.	1216
10	Maize	c2	GRMZM2G422750	0.000	Reduced pigmentation in aleurone.	Typically, R mottling.	1216
10	Maize	c2	GRMZM2G422750	0.000	Reduced pigmentation in aleurone.	Diffuse pericarp color.	1216
10	Maize	c2	GRMZM2G422750	0.000	Reduced pigmentation in aleurone.	Dilute pericarp color with P1-RR.	1216
10	Maize	c2	GRMZM2G422750	0.000	Reduced pigmentation in aleurone.	Sectors diffuse-edged rather than sharp.	1216
10	Maize	c2	GRMZM2G422750	0.000	Reduced pigmentation in aleurone.	Mottled kernel.	1216
10	Maize	c2	GRMZM2G422750	0.000	Pale aleurone.	Typically, R mottling.	1216
10	Maize	c2	GRMZM2G422750	0.000	Pale aleurone.	However, anthocyanin pigmented sectors are present.	1216
10	Maize	c2	GRMZM2G422750	0.000	Pale aleurone.	Diffuse pericarp color.	1216
10	Maize	c2	GRMZM2G422750	0.000	Pale aleurone.	Dilute pericarp color with P1-RR.	1216
10	Maize	c2	GRMZM2G422750	0.000	Pale aleurone.	Sectors diffuse-edged rather than sharp.	1216
10	Maize	c2	GRMZM2G422750	0.000	Pale aleurone.	Mottled kernel.	1216
10	Maize	c2	GRMZM2G422750	0.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Typically, R mottling.	1216
10	Maize	c2	GRMZM2G422750	0.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	However, anthocyanin pigmented sectors are present.	1216
10	Maize	c2	GRMZM2G422750	0.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Sectors diffuse-edged rather than sharp.	1216
10	Maize	c2	GRMZM2G422750	0.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Mottled kernel.	1216
11	Maize	anl1		1.000	Pale aleurone.	Pale aleurone.	2902
11	Maize	anl1		1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	2902
11	Maize	anl1		0.623	Reduced pigmentation in aleurone.	Pale aleurone.	2902
11	Maize	anl1		0.551	Pale aleurone.	Colorless aleurone.	2902
11	Maize	anl1		0.494	Reduced pigmentation in aleurone.	Colorless aleurone.	2902
11	Maize	anl1		0.368	Light-colored aleurone, lighter than dilute and less brown than bronze.	No color in the aleurone, specifically no color due to anthocyanins.	2902
11	Maize	anl1		0.362	Pale aleurone.	No color in the aleurone, specifically no color due to anthocyanins.	2902
11	Maize	anl1		0.324	Reduced pigmentation in aleurone.	No color in the aleurone, specifically no color due to anthocyanins.	2902
11	Maize	anl1		0.311	Pale aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	2902
11	Maize	anl1		0.311	Light-colored aleurone, lighter than dilute and less brown than bronze.	Pale aleurone.	2902
11	Maize	anl1		0.278	Reduced pigmentation in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	2902
11	Maize	anl1		0.246	Light-colored aleurone, lighter than dilute and less brown than bronze.	Colorless aleurone.	2902
11	Maize	anl1		0.000	Reduced pigmentation in aleurone.	Collapsed endosperm.	2902
11	Maize	anl1		0.000	Reduced pigmentation in aleurone.	Endosperm collapsed and partially defective.	2902
11	Maize	anl1		0.000	Reduced pigmentation in aleurone.	Lethal.	2902
11	Maize	anl1		0.000	Reduced pigmentation in aleurone.	Small kernel.	2902
11	Maize	anl1		0.000	Reduced pigmentation in aleurone.	Small kernel is the consistent characteristic but variable in other aspects.	2902
11	Maize	anl1		0.000	Pale aleurone.	Collapsed endosperm.	2902
