Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	a1	GRMZM2G026930	0.808	Aleuron layer is colored.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.808	Aleuron layer is colored.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	0.808	No color in aleurone.	Aleuron layer is colored.	166
1	Maize	a1	GRMZM2G026930	0.808	Colored aleurone.	Aleuron layer is colored.	166
1	Maize	a1	GRMZM2G026930	0.773	Colorless aleurone with pigmented sectors.	Pale aleurone, with pigmented sectors.	166
1	Maize	a1	GRMZM2G026930	0.773	Pale aleurone, with pigmented sectors.	Colorless aleurone with pigmented sectors.	166
1	Maize	a1	GRMZM2G026930	0.773	Colorless aleurone with pigmented sectors.	Colorless/pale aleurone with purple sectors.	166
1	Maize	a1	GRMZM2G026930	0.773	Colorless/pale aleurone with purple sectors.	Colorless aleurone with pigmented sectors.	166
1	Maize	a1	GRMZM2G026930	0.771	No color in aleurone.	No color in the aleurone, specifically no color due to anthocyanins.	166
1	Maize	a1	GRMZM2G026930	0.771	No color in the aleurone, specifically no color due to anthocyanins.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.771	No color in the aleurone, specifically no color due to anthocyanins.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	0.771	Colored aleurone.	No color in the aleurone, specifically no color due to anthocyanins.	166
1	Maize	a1	GRMZM2G026930	0.763	Silks are green.	Silks are green, rather than the normal yellow/white.	166
1	Maize	a1	GRMZM2G026930	0.763	Silks are green, rather than the normal yellow/white.	Silks are green.	166
1	Maize	a1	GRMZM2G026930	0.763	Silks are green, rather than the normal yellow/white.	Green silks.	166
1	Maize	a1	GRMZM2G026930	0.763	Green silks.	Silks are green, rather than the normal yellow/white.	166
1	Maize	a1	GRMZM2G026930	0.753	Anthers are green.	Anthers are green, rather than the normal yellow.	166
1	Maize	a1	GRMZM2G026930	0.753	Anthers are green, rather than the normal yellow.	Anthers are green.	166
1	Maize	a1	GRMZM2G026930	0.753	Anthers are green, rather than the normal yellow.	Green anthers.	166
1	Maize	a1	GRMZM2G026930	0.753	Green anthers.	Anthers are green, rather than the normal yellow.	166
1	Maize	a1	GRMZM2G026930	0.746	No color in the aleurone, specifically no color due to anthocyanins.	Anthocyanin color with A1 A2 C1 C2 R1.	166
1	Maize	a1	GRMZM2G026930	0.746	Anthocyanin color with A1 A2 C1 C2 R1.	No color in the aleurone, specifically no color due to anthocyanins.	166
1	Maize	a1	GRMZM2G026930	0.742	Colorless aleurone.	Colorless aleurone with pigmented sectors.	166
1	Maize	a1	GRMZM2G026930	0.742	Colorless aleurone with pigmented sectors.	Colorless aleurone.	166
1	Maize	a1	GRMZM2G026930	0.727	No color in aleurone.	Aleuron layer is colored, leading to a colored kernel.	166
1	Maize	a1	GRMZM2G026930	0.727	Aleuron layer is colored, leading to a colored kernel.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.727	Aleuron layer is colored, leading to a colored kernel.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	0.727	Colored aleurone.	Aleuron layer is colored, leading to a colored kernel.	166
1	Maize	a1	GRMZM2G026930	0.662	Colorless aleurone.	Colorless/pale aleurone with purple sectors.	166
1	Maize	a1	GRMZM2G026930	0.662	Colorless/pale aleurone with purple sectors.	Colorless aleurone.	166
1	Maize	a1	GRMZM2G026930	0.662	Colorless/pale aleurone with purple sectors.	Pale aleurone, with pigmented sectors.	166
1	Maize	a1	GRMZM2G026930	0.662	Pale aleurone, with pigmented sectors.	Colorless/pale aleurone with purple sectors.	166
1	Maize	a1	GRMZM2G026930	0.659	Pale aleurone.	Pale aleurone, with pigmented sectors.	166
1	Maize	a1	GRMZM2G026930	0.659	Pale aleurone, with pigmented sectors.	Pale aleurone.	166
1	Maize	a1	GRMZM2G026930	0.652	No color in aleurone.	Pale aleurone.	166
1	Maize	a1	GRMZM2G026930	0.652	Colored aleurone.	Pale aleurone.	166
1	Maize	a1	GRMZM2G026930	0.652	Pale aleurone.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.652	Pale aleurone.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	0.647	Embryonic axis profile/color halo.	Ring or halo of anthocyanin color surrounding the kernel embryonic axis.	166
1	Maize	a1	GRMZM2G026930	0.647	Ring or halo of anthocyanin color surrounding the kernel embryonic axis.	Embryonic axis profile/color halo.	166
1	Maize	a1	GRMZM2G026930	0.644	Would be purple if with Pr1, Bz1 and Bz2.	Purple husks.	166
1	Maize	a1	GRMZM2G026930	0.644	Purple husks.	Would be purple if with Pr1, Bz1 and Bz2.	166
1	Maize	a1	GRMZM2G026930	0.630	Aleuron layer is colored, leading to a colored kernel.	No color in the aleurone, specifically no color due to anthocyanins.	166
1	Maize	a1	GRMZM2G026930	0.630	No color in the aleurone, specifically no color due to anthocyanins.	Aleuron layer is colored, leading to a colored kernel.	166
1	Maize	a1	GRMZM2G026930	0.624	Aleuron layer is colored.	No color in the aleurone, specifically no color due to anthocyanins.	166
1	Maize	a1	GRMZM2G026930	0.624	No color in the aleurone, specifically no color due to anthocyanins.	Aleuron layer is colored.	166
1	Maize	a1	GRMZM2G026930	0.600	Would be purple if with Pr1, Bz1 and Bz2.	Pale purple husks.	166
1	Maize	a1	GRMZM2G026930	0.600	Pale purple husks.	Would be purple if with Pr1, Bz1 and Bz2.	166
1	Maize	a1	GRMZM2G026930	0.587	Purple husks.	Purple plant.	166
1	Maize	a1	GRMZM2G026930	0.587	Purple plant.	Purple husks.	166
1	Maize	a1	GRMZM2G026930	0.551	Colorless aleurone.	Pale aleurone.	166
1	Maize	a1	GRMZM2G026930	0.551	Pale aleurone.	Colorless aleurone.	166
1	Maize	a1	GRMZM2G026930	0.548	Pale aleurone.	Spotted aleurone.	166
1	Maize	a1	GRMZM2G026930	0.548	Spotted aleurone.	Pale aleurone.	166
1	Maize	a1	GRMZM2G026930	0.547	Pale purple husks.	Purple plant.	166
1	Maize	a1	GRMZM2G026930	0.547	Purple plant.	Pale purple husks.	166
1	Maize	a1	GRMZM2G026930	0.538	Lack of anthocyanins in aleurone.	Pale aleurone.	166
1	Maize	a1	GRMZM2G026930	0.538	Pale aleurone.	Lack of anthocyanins in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.536	However, anthocyanin pigmented sectors are present.	Pale aleurone, with pigmented sectors.	166
1	Maize	a1	GRMZM2G026930	0.536	Pale aleurone, with pigmented sectors.	However, anthocyanin pigmented sectors are present.	166
1	Maize	a1	GRMZM2G026930	0.527	Aleuron layer is colored.	Pale aleurone.	166
1	Maize	a1	GRMZM2G026930	0.527	Pale aleurone.	Aleuron layer is colored.	166
1	Maize	a1	GRMZM2G026930	0.524	Colorless/pale aleurone with purple sectors.	Pale aleurone.	166
1	Maize	a1	GRMZM2G026930	0.524	Pale aleurone.	Colorless/pale aleurone with purple sectors.	166
1	Maize	a1	GRMZM2G026930	0.519	The pericarp is brown.	Green or brown plant.	166
1	Maize	a1	GRMZM2G026930	0.519	Brown pericarp.	Green or brown plant.	166
1	Maize	a1	GRMZM2G026930	0.519	Green or brown plant.	The pericarp is brown.	166
1	Maize	a1	GRMZM2G026930	0.519	Green or brown plant.	Brown pericarp.	166
1	Maize	a1	GRMZM2G026930	0.516	No color in aleurone.	Colorless aleurone.	166
1	Maize	a1	GRMZM2G026930	0.516	Colored aleurone.	Colorless aleurone.	166
1	Maize	a1	GRMZM2G026930	0.516	Colorless aleurone.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.516	Colorless aleurone.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	0.513	No color in aleurone.	Spotted aleurone.	166
1	Maize	a1	GRMZM2G026930	0.513	Colored aleurone.	Spotted aleurone.	166
1	Maize	a1	GRMZM2G026930	0.513	Spotted aleurone.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.513	Spotted aleurone.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	0.504	No color in aleurone.	Lack of anthocyanins in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.504	Lack of anthocyanins in aleurone.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.504	Lack of anthocyanins in aleurone.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	0.504	Colored aleurone.	Lack of anthocyanins in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.491	Lack of anthocyanins in aleurone.	No color in the aleurone, specifically no color due to anthocyanins.	166
1	Maize	a1	GRMZM2G026930	0.491	No color in the aleurone, specifically no color due to anthocyanins.	Lack of anthocyanins in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.483	Anthers are green, rather than the normal yellow.	Silks are green, rather than the normal yellow/white.	166
1	Maize	a1	GRMZM2G026930	0.483	Silks are green, rather than the normal yellow/white.	Anthers are green, rather than the normal yellow.	166
1	Maize	a1	GRMZM2G026930	0.478	However, anthocyanin pigmented sectors are present.	Colorless aleurone with pigmented sectors.	166
1	Maize	a1	GRMZM2G026930	0.478	Colorless aleurone with pigmented sectors.	However, anthocyanin pigmented sectors are present.	166
1	Maize	a1	GRMZM2G026930	0.477	No color in aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	166
1	Maize	a1	GRMZM2G026930	0.477	Colored aleurone.	Light-colored aleurone, lighter than dilute and less brown than bronze.	166
1	Maize	a1	GRMZM2G026930	0.477	Light-colored aleurone, lighter than dilute and less brown than bronze.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.477	Light-colored aleurone, lighter than dilute and less brown than bronze.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	0.476	Would be purple if with Pr1, Bz1 and Bz2.	Colorless/pale aleurone with purple sectors.	166
1	Maize	a1	GRMZM2G026930	0.476	Colorless/pale aleurone with purple sectors.	Would be purple if with Pr1, Bz1 and Bz2.	166
1	Maize	a1	GRMZM2G026930	0.442	Aleuron layer is colored, leading to a colored kernel.	Anthocyanin color with A1 A2 C1 C2 R1.	166
1	Maize	a1	GRMZM2G026930	0.442	Anthocyanin color with A1 A2 C1 C2 R1.	Aleuron layer is colored, leading to a colored kernel.	166
1	Maize	a1	GRMZM2G026930	0.441	Green or brown plant.	Red-brown pericarp.	166
1	Maize	a1	GRMZM2G026930	0.441	Red-brown pericarp.	Green or brown plant.	166
1	Maize	a1	GRMZM2G026930	0.434	Colorless/pale aleurone with purple sectors.	Purple plant.	166
1	Maize	a1	GRMZM2G026930	0.434	Purple plant.	Colorless/pale aleurone with purple sectors.	166
1	Maize	a1	GRMZM2G026930	0.433	Colorless aleurone.	Spotted aleurone.	166
1	Maize	a1	GRMZM2G026930	0.433	Spotted aleurone.	Colorless aleurone.	166
1	Maize	a1	GRMZM2G026930	0.430	No color in aleurone.	Pale aleurone, with pigmented sectors.	166
1	Maize	a1	GRMZM2G026930	0.430	Colored aleurone.	Pale aleurone, with pigmented sectors.	166
1	Maize	a1	GRMZM2G026930	0.430	Pale aleurone, with pigmented sectors.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.430	Pale aleurone, with pigmented sectors.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	0.426	Lack of anthocyanins in aleurone.	Colorless aleurone.	166
1	Maize	a1	GRMZM2G026930	0.426	Colorless aleurone.	Lack of anthocyanins in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.423	Lack of anthocyanins in aleurone.	Spotted aleurone.	166
1	Maize	a1	GRMZM2G026930	0.423	Spotted aleurone.	Lack of anthocyanins in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.422	No color in aleurone.	Anthocyanin color with A1 A2 C1 C2 R1.	166
1	Maize	a1	GRMZM2G026930	0.422	Colored aleurone.	Anthocyanin color with A1 A2 C1 C2 R1.	166
1	Maize	a1	GRMZM2G026930	0.422	Anthocyanin color with A1 A2 C1 C2 R1.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	0.422	Anthocyanin color with A1 A2 C1 C2 R1.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	0.417	Aleuron layer is colored.	Colorless aleurone.	166
1	Maize	a1	GRMZM2G026930	0.417	Colorless aleurone.	Aleuron layer is colored.	166
1	Maize	a1	GRMZM2G026930	0.415	Aleuron layer is colored.	Spotted aleurone.	166
1	Maize	a1	GRMZM2G026930	0.415	Spotted aleurone.	Aleuron layer is colored.	166
1	Maize	a1	GRMZM2G026930	0.412	Lack of anthocyanins in aleurone.	Anthocyanin color with A1 A2 C1 C2 R1.	166
