Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	r1	GRMZM5G822829	1.000	Aleuron layer is colored.	Aleuron layer is colored.	170
1	Maize	r1	GRMZM5G822829	1.000	Anthers are green.	Anthers are green.	170
1	Maize	r1	GRMZM5G822829	1.000	Anthers are green.	Green anthers.	170
1	Maize	r1	GRMZM5G822829	1.000	Anthocyanin pigment in pericarp.	Anthocyanin pigment in pericarp.	170
1	Maize	r1	GRMZM5G822829	1.000	Aleurone layer mottled.	Aleurone layer mottled.	170
1	Maize	r1	GRMZM5G822829	1.000	Red anthers.	Red anthers.	170
1	Maize	r1	GRMZM5G822829	1.000	Strong anthocyanin on leaf blade after 4-6 leaf stage.	Strong anthocyanin on leaf blade after 4-6 leaf stage.	170
1	Maize	r1	GRMZM5G822829	1.000	Aleuron layer is colored, leading to a colored kernel.	Aleuron layer is colored, leading to a colored kernel.	170
1	Maize	r1	GRMZM5G822829	1.000	Anthers are green, rather than the normal yellow.	Anthers are green, rather than the normal yellow.	170
1	Maize	r1	GRMZM5G822829	1.000	Irregular distribution of color among aleurone cells with appropriate anthocyanin genes.	Irregular distribution of color among aleurone cells with appropriate anthocyanin genes.	170
1	Maize	r1	GRMZM5G822829	1.000	Typically, R mottling.	Typically, R mottling.	170
1	Maize	r1	GRMZM5G822829	1.000	Pale pink to red anthers.	Pale pink to red anthers.	170
1	Maize	r1	GRMZM5G822829	1.000	Cherry pericarp.	Cherry pericarp.	170
1	Maize	r1	GRMZM5G822829	1.000	Colored aleurone.	Colored aleurone.	170
1	Maize	r1	GRMZM5G822829	1.000	Anthocyanin color with A1 A2 C1 C2 R1.	Anthocyanin color with A1 A2 C1 C2 R1.	170
1	Maize	r1	GRMZM5G822829	1.000	Would be purple if with Pr1, Bz1 and Bz2.	Would be purple if with Pr1, Bz1 and Bz2.	170
1	Maize	r1	GRMZM5G822829	1.000	Colored leaf.	Colored leaf.	170
1	Maize	r1	GRMZM5G822829	1.000	Colored plant.	Colored plant.	170
1	Maize	r1	GRMZM5G822829	1.000	Colored scutellum.	Colored scutellum.	170
1	Maize	r1	GRMZM5G822829	1.000	Anthocyanin pigment in scutellar tissue and embryo.	Anthocyanin pigment in scutellar tissue and embryo.	170
1	Maize	r1	GRMZM5G822829	1.000	Distinct from purple plumule which has pigment in the embro axis only.	Distinct from purple plumule which has pigment in the embro axis only.	170
1	Maize	r1	GRMZM5G822829	1.000	Also distinct from embryonic axis profile/color halo trait.	Also distinct from embryonic axis profile/color halo trait.	170
1	Maize	r1	GRMZM5G822829	1.000	Expression varies between backgrounds.	Expression varies between backgrounds.	170
1	Maize	r1	GRMZM5G822829	1.000	Colorless aleurone.	Colorless aleurone.	170
1	Maize	r1	GRMZM5G822829	1.000	No color in the aleurone, specifically no color due to anthocyanins.	No color in the aleurone, specifically no color due to anthocyanins.	170
1	Maize	r1	GRMZM5G822829	1.000	Colorless aleurone with pigmented sectors.	Colorless aleurone with pigmented sectors.	170
1	Maize	r1	GRMZM5G822829	1.000	However, anthocyanin pigmented sectors are present.	However, anthocyanin pigmented sectors are present.	170
1	Maize	r1	GRMZM5G822829	1.000	Colorless roots.	Colorless roots.	170
1	Maize	r1	GRMZM5G822829	1.000	Colorless refers to anthocyanin.	Colorless refers to anthocyanin.	170
1	Maize	r1	GRMZM5G822829	1.000	Green anthers.	Anthers are green.	170
1	Maize	r1	GRMZM5G822829	1.000	Green anthers.	Green anthers.	170
1	Maize	r1	GRMZM5G822829	1.000	Non-pigmented.	Non-pigmented.	170
1	Maize	r1	GRMZM5G822829	1.000	Usually appear to be yellow.	Usually appear to be yellow.	170
1	Maize	r1	GRMZM5G822829	1.000	Green leaf tip.	Green leaf tip.	170
1	Maize	r1	GRMZM5G822829	1.000	Lightly stippled.	Lightly stippled.	170
1	Maize	r1	GRMZM5G822829	1.000	Marbled aleurone.	Marbled aleurone.	170
1	Maize	r1	GRMZM5G822829	1.000	Mottled aleurone.	Mottled aleurone.	170
1	Maize	r1	GRMZM5G822829	1.000	Mottled kernel.	Mottled kernel.	170
1	Maize	r1	GRMZM5G822829	1.000	Navajo spot kernel.	Navajo spot kernel.	170
1	Maize	r1	GRMZM5G822829	1.000	Anthocyanin or other variation in tissue around silk attachment.	Anthocyanin or other variation in tissue around silk attachment.	170
1	Maize	r1	GRMZM5G822829	1.000	Colorless kernels tipped with anthocyanin pigment.	Colorless kernels tipped with anthocyanin pigment.	170
1	Maize	r1	GRMZM5G822829	1.000	'eyed or capped' kernel pigment.	'eyed or capped' kernel pigment.	170
1	Maize	r1	GRMZM5G822829	1.000	Kernel mostly colorless with anthocyanin pigmented mark ('ink spot') at silk attachment.	Kernel mostly colorless with anthocyanin pigmented mark ('ink spot') at silk attachment.	170
1	Maize	r1	GRMZM5G822829	1.000	In some backgrounds, the crown spot can resemble flying eagles, dragon flies, owl eyes, etc.	In some backgrounds, the crown spot can resemble flying eagles, dragon flies, owl eyes, etc.	170
1	Maize	r1	GRMZM5G822829	1.000	Nondisjunction.	Nondisjunction.	170
1	Maize	r1	GRMZM5G822829	1.000	Pale aleurone.	Pale aleurone.	170
1	Maize	r1	GRMZM5G822829	1.000	Light-colored aleurone, lighter than dilute and less brown than bronze.	Light-colored aleurone, lighter than dilute and less brown than bronze.	170
